familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,g,fuente
DobleT,IPN300,69.0,12.5,1.62,30.0,24.1,1.08,9800.0,653.0,11.9,762.0,451.0,72.2,2.56,120.6,46.7,91850.0,54.2,planilla_MC_2024
DobleT,IPN80,7.57,4.2,0.59,8.0,5.9,0.39,77.8,19.5,3.2,22.8,6.29,3.0,0.91,4.93,0.71,87.5,5.94,planilla_MC_2024
DobleT,M10X7.5,14.258,6.8326,0.43942,25.3746,23.1775,0.3302,1365.24,107.606819,9.785324,126.672,20.7283,6.067471,1.205737,10.2091,0.832463,3891.68654,11.19253,planilla_MC_2024
DobleT,M10X8,15.1613,6.8326,0.46228,25.273,22.5425,0.35814,1436.0,113.639061,9.732155,133.882,22.3516,6.542634,1.214188,10.8974,0.832463,4069.205738,11.901621,planilla_MC_2024
DobleT,M10X9,17.0967,6.8326,0.52324,25.4,22.5425,0.39878,1614.98,127.16378,9.719131,150.597,25.3485,7.419869,1.217643,12.5361,1.24869,4673.327818,13.420909,planilla_MC_2024
DobleT,M12X10,18.9677,8.255,0.4572,30.4038,27.94,0.37846,2563.99,168.66247,11.626549,199.922,41.3734,10.02384,1.476907,16.3871,1.24869,10206.249996,14.889645,planilla_MC_2024
DobleT,M12X10.8,20.5161,7.7851,0.5334,30.4038,27.6225,0.4064,2705.5,177.971175,11.483555,216.309,37.6689,9.677178,1.355015,17.2064,1.66493,10036.825322,16.105139,planilla_MC_2024
DobleT,M12X11.8,22.3871,7.7851,0.5715,30.48,27.6225,0.44958,2992.7,196.371391,11.561992,234.335,40.7907,10.479172,1.349838,17.8619,2.08116,10833.349348,17.573874,planilla_MC_2024
DobleT,M5X18.9,35.8064,12.7076,1.05664,12.7,8.5725,0.80264,1003.12,157.971654,5.29293,180.258,327.158,51.490132,3.022724,82.2631,14.1519,17097.442746,28.108024,planilla_MC_2024
DobleT,M6X4.4,8.32256,4.68376,0.43434,15.24,13.335,0.28956,299.687,39.329003,6.000749,45.8838,6.86782,2.93261,0.908408,4.85057,0.416231,456.857766,6.53321,planilla_MC_2024
DobleT,M8X6.5,12.3871,5.79374,0.48006,20.32,17.4625,0.3429,770.028,75.790157,7.884396,88.8179,14.2767,4.928319,1.073567,8.22631,0.832463,1683.024586,9.723873,planilla_MC_2024
DobleT,S10X25.4,48.1289,11.8389,1.24714,25.4,20.7,0.78994,5161.27,406.399213,10.355601,465.393,282.621,47.74447,2.423256,81.2798,24.9739,61226.471404,37.781187,planilla_MC_2024
DobleT,S10X35,66.4515,12.5578,1.24714,25.4,20.7,1.50876,6118.6,481.779528,9.595633,580.102,347.969,55.418784,2.288326,101.928,53.6939,73071.136222,52.164428,planilla_MC_2024
DobleT,S12X31.8,60.3225,12.7,1.38176,30.48,25.4,0.889,9073.85,595.396982,12.264677,688.257,389.593,61.353228,2.541358,104.877,37.4608,119721.475709,47.353163,planilla_MC_2024
DobleT,S12X35,66.4515,12.8981,1.38176,30.48,25.4,1.08712,9531.7,625.439633,11.976579,734.14,410.82,63.702406,2.486414,111.268,44.953,125411.718143,52.164428,planilla_MC_2024
DobleT,S12X40.8,77.4192,13.3401,1.67386,30.48,24.3,1.17348,11321.5,742.880577,12.092822,870.153,566.075,84.868179,2.704037,145.026,72.8405,171179.35196,60.774072,planilla_MC_2024
DobleT,S12X50,94.8385,13.9116,1.67386,30.48,24.3,1.74498,12695.1,833.011811,11.569797,1002.89,653.483,93.947928,2.624973,168.787,117.377,194135.683103,74.448222,planilla_MC_2024
DobleT,S15X42.9,81.2902,13.9725,1.57988,38.1,32.2,1.04394,18605.5,976.666667,15.128699,1135.62,599.373,85.793237,2.715373,147.811,64.0996,282732.618021,63.812807,planilla_MC_2024
DobleT,S15X50,94.8385,14.3256,1.57988,38.1,32.2,1.397,20228.8,1061.879265,14.604703,1263.44,653.483,91.232898,2.624973,163.379,88.2411,304713.728727,74.448222,planilla_MC_2024
DobleT,S18X54.7,103.871,15.2425,1.75514,45.72,39.2,1.17094,33465.0,1463.910761,17.949331,1720.64,865.761,113.598294,2.887034,198.283,98.6468,583716.05892,81.538735,planilla_MC_2024
DobleT,S18X70,132.903,15.8775,1.75514,45.72,39.2,1.80594,38543.0,1686.045494,17.029636,2048.38,1003.12,126.357424,2.747319,235.974,172.736,659749.993677,104.328855,planilla_MC_2024
DobleT,S20X66,125.161,15.8877,2.0193,50.8,43.7,1.2827,49531.5,1950.059055,19.893272,2294.19,1152.96,145.138692,3.035097,250.722,149.011,941364.850384,98.251385,planilla_MC_2024
